,leiden_labels,desc_labels,ctec_ob_labels
1221,1,2,0
1222,1,0,0
1223,1,1,0
1224,0,2,0
1225,0,2,0
1226,1,3,0
1227,0,1,0
1228,1,1,0
1229,1,0,14
1230,1,2,0
1231,1,1,0
1232,1,2,0
1233,0,1,0
1234,0,0,0
1235,1,1,0
1236,3,4,11
1237,0,1,0
1238,0,0,0
1239,0,1,0
1240,0,1,0
1241,0,0,0
1242,0,1,0
1243,0,0,0
1244,0,1,0
1245,1,2,0
1246,11,1,12
1247,0,2,0
1248,1,2,0
1249,1,1,0
1250,1,1,0
1251,0,2,0
1252,0,3,0
1253,5,3,13
1254,5,3,13
1255,1,1,0
1256,11,2,12
1257,1,1,0
1258,11,5,12
1259,0,1,0
1260,0,1,0
1261,11,0,12
1262,1,2,0
1263,1,1,0
1264,1,1,0
1265,0,2,0
1266,5,3,13
1267,11,1,12
1268,1,1,0
1269,1,3,0
1270,1,1,0
1271,11,5,12
1272,1,2,0
1273,0,2,0
1274,0,2,0
1275,1,2,0
1276,2,1,0
1277,1,2,0
1278,0,2,0
1279,1,0,0
1280,0,2,0
1281,6,1,0
1282,1,2,0
1283,1,1,0
1284,0,2,0
1285,1,0,0
1286,16,5,12
1287,1,1,0
1288,0,1,0
1289,0,2,0
1290,0,1,0
1291,7,6,15
1292,1,1,0
1293,11,0,12
1294,0,1,0
1295,0,0,0
1296,0,0,0
1297,0,2,0
1298,11,2,12
1299,1,2,0
1300,1,1,0
1301,0,2,0
1302,1,2,0
1303,11,0,12
1304,11,6,15
1305,4,9,12
1306,7,6,15
1307,11,9,12
1308,11,5,12
1309,11,5,12
1310,11,9,12
1311,11,9,12
1312,11,9,12
1313,11,6,15
1314,7,6,15
1315,5,3,13
1316,7,6,15
1317,7,6,15
1318,11,1,12
1319,11,6,12
1320,7,6,15
1321,7,6,15
1322,1,6,15
1323,7,6,15
1324,11,5,12
1325,11,5,3
1326,11,5,3
1327,11,6,12
1328,11,0,3
1329,11,5,12
1330,4,5,12
1331,4,5,12
1332,7,6,15
1333,11,5,12
1334,7,6,15
1335,7,6,15
1336,11,0,12
1337,11,0,12
1338,7,6,15
1339,11,5,12
1340,11,5,12
1341,11,9,12
1342,7,6,15
1343,7,6,15
1344,1,1,0
1345,1,0,14
1346,11,9,12
1347,11,5,12
1348,8,7,16
1349,11,5,3
1350,11,5,12
1351,7,6,15
1352,11,0,12
1353,7,6,15
1354,7,6,15
1355,11,6,15
1356,4,5,12
1357,11,9,2
1358,11,5,12
1359,7,6,15
1360,10,9,2
1361,7,6,15
1362,7,6,15
1363,10,9,2
1364,7,6,15
1365,6,5,12
1366,7,6,15
1367,7,6,15
1368,7,6,15
1369,10,9,2
1370,4,5,12
1371,4,5,12
1372,6,0,14
1373,7,6,15
1374,7,6,15
1375,7,6,15
1376,7,6,15
1377,7,6,15
1378,1,3,13
1379,11,5,3
1380,11,0,12
1381,4,5,12
1382,7,6,15
1383,7,6,15
1384,4,5,12
1385,7,6,15
1386,7,6,15
1387,1,0,14
1388,11,5,12
1389,11,5,12
1390,7,6,15
1391,1,0,14
1392,11,5,12
1393,7,6,15
1394,4,5,12
1395,11,0,12
1396,0,0,0
1397,7,6,15
1398,11,5,12
1399,7,6,15
1400,7,6,15
1401,4,5,12
1402,11,5,12
1403,11,5,12
1404,4,5,12
1405,11,5,12
1406,7,6,15
1407,11,0,3
1408,4,5,12
1409,11,9,12
1410,3,4,11
1411,7,6,15
1412,11,9,12
1413,7,6,15
1414,5,3,13
1415,5,3,13
1416,5,3,13
1417,5,3,13
1418,5,3,13
1419,5,3,13
1420,16,3,13
1421,5,3,13
1422,5,3,13
1423,5,3,13
1424,5,3,13
1425,5,3,13
1426,5,3,13
1427,5,3,13
1428,5,3,13
1429,5,3,13
1430,5,3,13
1431,5,3,13
1432,16,3,8
1433,5,3,13
1434,5,3,13
1435,5,3,13
1436,5,3,13
1437,5,3,13
1438,5,3,13
1439,5,3,13
1440,5,3,13
1441,5,3,13
1442,5,3,13
1443,5,3,13
1444,5,3,13
1445,5,3,13
1446,5,3,13
1447,5,3,13
1448,5,3,13
1449,5,3,13
1450,16,3,13
1451,5,3,13
1452,5,3,13
1453,5,3,13
1454,1,3,13
1455,5,3,13
1456,5,3,13
1457,16,3,8
1458,5,3,13
1459,5,3,13
1460,5,3,13
1461,5,3,13
1462,5,3,13
1463,5,3,13
1464,5,3,13
1465,5,3,13
1466,5,3,13
1467,5,3,13
1468,5,3,13
1469,5,3,13
1470,5,3,13
1471,5,3,13
1472,16,3,8
1473,5,3,13
1474,5,3,13
1475,5,3,13
1476,5,3,13
1477,5,3,13
1478,5,3,13
1479,16,3,13
1480,5,3,13
1481,16,3,8
1482,5,3,13
1483,5,3,13
1484,5,3,13
1485,5,3,13
1486,5,3,13
1487,5,3,13
1488,5,3,13
1489,5,3,13
1490,5,3,13
1491,5,3,13
1492,5,3,13
1493,5,3,13
1494,5,3,13
1495,5,3,13
1496,5,3,13
1497,5,3,13
1498,5,3,13
1499,5,3,13
1500,5,3,13
1501,16,3,8
1502,5,3,13
1503,5,3,13
1504,5,3,13
